Provinsi;ACEH;SUMATERA UTARA;SUMATERA BARAT;RIAU;JAMBI;SUMATERA SELATAN;BENGKULU;LAMPUNG;KEPULAUAN BANGKA BELITUNG;KEPULAUAN RIAU;DKI JAKARTA;JAWA BARAT;JAWA TENGAH;DAERAH ISTIMEWA YOGYAKARTA;JAWA TIMUR;BANTEN;BALI;NUSA TENGGARA BARAT;NUSA TENGGARA TIMUR;KALIMANTAN BARAT;KALIMANTAN TENGAH;KALIMANTAN SELATAN;KALIMANTAN TIMUR;KALIMANTAN UTARA;SULAWESI UTARA;SULAWESI TENGAH;SULAWESI SELATAN;SULAWESI TENGGARA;GORONTALO;SULAWESI BARAT;MALUKU;MALUKU UTARA;PAPUA BARAT;PAPUA
ACEH;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SUMATERA UTARA;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SUMATERA BARAT;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RIAU;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JAMBI;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SUMATERA SELATAN;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BENGKULU;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LAMPUNG;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KEPULAUAN BANGKA BELITUNG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KEPULAUAN RIAU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
